experiment,seed,dataset,sample_id,df,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline,6,satburst_synth,Landcover-1295513_rgb,4,mlp_tcnn,fourier,8,48,2000,36.49441909790039,31.149051666259766,5.345367431640625,0.9211893081665039,0.8308073878288269,0.090381920337677,0.15344393253326416,0.32264333963394165,0.1691994071006775,False,64,256,,,7.396523714065552,0.003698261857032776,10.80415415763855,0.0033479034900665283,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1295513_rgb/fourier_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1295513_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name fourier_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline,6,satburst_synth,Landcover-1295513_rgb,4,mlp_tcnn,hashgrid_tcnn,8,256,2000,39.7318229675293,31.149051666259766,8.582771301269531,0.9633503556251526,0.8308073878288269,0.13254296779632568,0.08327316492795944,0.32264333963394165,0.2393701747059822,False,64,256,,,7.743269443511963,0.0038716347217559815,11.057323694229126,0.0009835675591602921,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1295513_rgb/hashgrid_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1295513_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name hashgrid_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention,6,satburst_synth,Landcover-1295513_rgb,4,hash_attn,hashgrid_tcnn,8,256,2000,39.4520263671875,31.149051666259766,8.302974700927734,0.9613446593284607,0.8308073878288269,0.1305372714996338,0.08647112548351288,0.32264333963394165,0.23617221415042877,False,64,256,2.2461459636688232,0.519985556602478,10.746358156204224,0.005373179078102112,14.078020811080933,0.0009281879174523056,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1295513_rgb/hashgrid_level_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1295513_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --run_name hashgrid_level_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.03155020624399185, 0.03655550628900528, 0.038258593529462814, 0.040879108011722565, 0.04105531796813011, 0.0420650914311409, 0.05184613913297653, 0.07842744141817093, 0.11937704682350159, 0.15311919152736664, 0.18059301376342773, 0.18627335131168365]"
fourier_band_attention,6,satburst_synth,Landcover-1295513_rgb,4,fourier_band_attn,fourier,8,48,2000,28.32281494140625,31.149051666259766,-2.8262367248535156,0.6920933723449707,0.8308073878288269,-0.1387140154838562,0.42396461963653564,0.32264333963394165,-0.101321280002594,False,64,256,1.9309022426605225,0.42552998661994934,9.430249214172363,0.004715124607086182,12.767365455627441,0.07120206207036972,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1295513_rgb/fourier_band_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1295513_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --run_name fourier_band_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09214986860752106, 0.11254405975341797, 0.13402804732322693, 0.14176616072654724, 0.09398184716701508, 0.16006624698638916, 0.07641106843948364, 0.18905267119407654]"
