experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline_area,6,worldstrat_sweet,UNHCR-LTUs001108,4,area,mlp_tcnn,fourier,8,48,2000,32.59284210205078,32.6601676940918,-0.06732559204101562,0.8214847445487976,0.8360326290130615,-0.014547884464263916,0.43262404203414917,0.49566173553466797,0.0630376935005188,False,64,256,,,7.779140472412109,0.003889570236206055,11.081883668899536,0.0777849406003952,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,worldstrat_sweet,UNHCR-LTUs001108,4,s2_psf,mlp_tcnn,fourier,8,48,2000,32.17620849609375,32.6601676940918,-0.4839591979980469,0.8089367747306824,0.8360326290130615,-0.02709585428237915,0.4239075779914856,0.49566173553466797,0.07175415754318237,False,64,256,,,9.86869502067566,0.00493434751033783,13.051771640777588,0.07866764068603516,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,worldstrat_sweet,UNHCR-LTUs001108,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,32.496124267578125,32.6601676940918,-0.16404342651367188,0.8195209503173828,0.8360326290130615,-0.01651167869567871,0.44370564818382263,0.49566173553466797,0.05195608735084534,False,64,256,,,7.817915439605713,0.0039089577198028564,11.135475873947144,0.07743394374847412,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,worldstrat_sweet,UNHCR-LTUs001108,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,32.00190353393555,32.6601676940918,-0.65826416015625,0.8034601211547852,0.8360326290130615,-0.03257250785827637,0.43096548318862915,0.49566173553466797,0.06469625234603882,False,64,256,,,10.235371589660645,0.0051176857948303225,13.265907287597656,0.07813899219036102,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,worldstrat_sweet,UNHCR-LTUs001108,4,area,hash_attn,hashgrid_tcnn,16,64,2000,32.73334503173828,32.6601676940918,0.07317733764648438,0.8269920945167542,0.8360326290130615,-0.009040534496307373,0.44494718313217163,0.49566173553466797,0.05071455240249634,False,64,256,2.7219223976135254,0.2898612916469574,13.707009315490723,0.0068535046577453615,16.913419246673584,0.08167152106761932,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.046951375901699066, 0.04726729542016983, 0.048078037798404694, 0.04796253889799118, 0.04798504337668419, 0.049498796463012695, 0.05027099698781967, 0.05170471966266632, 0.05358542129397392, 0.05804413557052612, 0.06380274891853333, 0.06623505055904388, 0.0787525475025177, 0.08328354358673096, 0.09654068201780319, 0.11003707349300385]"
hashgrid_level_attention_s2_psf,6,worldstrat_sweet,UNHCR-LTUs001108,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,32.348243713378906,32.6601676940918,-0.3119239807128906,0.8155386447906494,0.8360326290130615,-0.02049398422241211,0.4345581531524658,0.49566173553466797,0.06110358238220215,False,64,256,2.639915943145752,0.37016838788986206,15.675721883773804,0.007837860941886902,18.925151109695435,0.08155058324337006,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.03928111493587494, 0.03956269472837448, 0.040564946830272675, 0.03995773196220398, 0.040334153920412064, 0.041905276477336884, 0.042538803070783615, 0.044091612100601196, 0.04631730914115906, 0.05124055594205856, 0.05686546862125397, 0.062426842749118805, 0.08474510908126831, 0.09556907415390015, 0.1250229924917221, 0.149576336145401]"
fourier_band_attention_area,6,worldstrat_sweet,UNHCR-LTUs001108,4,area,fourier_band_attn,fourier,8,48,2000,32.30411911010742,32.6601676940918,-0.356048583984375,0.804244339466095,0.8360326290130615,-0.03178828954696655,0.4718262553215027,0.49566173553466797,0.023835480213165283,False,64,256,1.9463474750518799,0.41476356983184814,12.020652770996094,0.0060103263854980465,15.266823053359985,0.0967668816447258,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10015495866537094, 0.1529216170310974, 0.11445806920528412, 0.13532498478889465, 0.08237683773040771, 0.11724977940320969, 0.08268505334854126, 0.2148286998271942]"
fourier_band_attention_s2_psf,6,worldstrat_sweet,UNHCR-LTUs001108,4,s2_psf,fourier_band_attn,fourier,8,48,2000,31.898500442504883,32.6601676940918,-0.7616672515869141,0.7823810577392578,0.8360326290130615,-0.05365157127380371,0.4889177083969116,0.49566173553466797,0.006744027137756348,False,64,256,1.9291093349456787,0.40131843090057373,13.400269985198975,0.006700134992599487,16.544275283813477,0.09797288477420807,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-LTUs001108/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-LTUs001108 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09887266904115677, 0.14718097448349, 0.12985432147979736, 0.13810847699642181, 0.08466510474681854, 0.119386687874794, 0.07957781851291656, 0.20235392451286316]"
