experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline_area,6,worldstrat_sweet,UNHCR-GRCs000069,4,area,mlp_tcnn,fourier,8,48,2000,22.42454719543457,22.94284439086914,-0.5182971954345703,0.6041502952575684,0.6370585560798645,-0.03290826082229614,0.4826434850692749,0.5419168472290039,0.059273362159729004,False,64,256,,,7.556702375411987,0.0037783511877059936,10.76462697982788,0.026438746601343155,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,worldstrat_sweet,UNHCR-GRCs000069,4,s2_psf,mlp_tcnn,fourier,8,48,2000,22.05619239807129,22.94284439086914,-0.8866519927978516,0.5803235173225403,0.6370585560798645,-0.05673503875732422,0.47668471932411194,0.5419168472290039,0.06523212790489197,False,64,256,,,9.786436319351196,0.004893218159675598,12.926599025726318,0.029518913477659225,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,worldstrat_sweet,UNHCR-GRCs000069,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,22.427061080932617,22.94284439086914,-0.5157833099365234,0.605143129825592,0.6370585560798645,-0.03191542625427246,0.49357831478118896,0.5419168472290039,0.04833853244781494,False,64,256,,,7.770772933959961,0.0038853864669799805,10.995942831039429,0.02767765149474144,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,worldstrat_sweet,UNHCR-GRCs000069,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,22.036022186279297,22.94284439086914,-0.9068222045898438,0.5792157053947449,0.6370585560798645,-0.05784285068511963,0.4840427041053772,0.5419168472290039,0.05787414312362671,False,64,256,,,10.243910789489746,0.005121955394744873,13.305007696151733,0.029832083731889725,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,worldstrat_sweet,UNHCR-GRCs000069,4,area,hash_attn,hashgrid_tcnn,16,64,2000,22.46889877319336,22.94284439086914,-0.47394561767578125,0.6095736622810364,0.6370585560798645,-0.027484893798828125,0.4896705448627472,0.5419168472290039,0.052246302366256714,False,64,256,2.5590851306915283,0.41249868273735046,13.846090078353882,0.006923045039176941,17.06099796295166,0.02932317927479744,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.033817093819379807, 0.03406025096774101, 0.03641282021999359, 0.03396597504615784, 0.038043662905693054, 0.03793572634458542, 0.03702329844236374, 0.04011157900094986, 0.040926218032836914, 0.05030661076307297, 0.05848317965865135, 0.06019876152276993, 0.08621612191200256, 0.10506658256053925, 0.13646939396858215, 0.17096270620822906]"
hashgrid_level_attention_s2_psf,6,worldstrat_sweet,UNHCR-GRCs000069,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,22.07628059387207,22.94284439086914,-0.8665637969970703,0.582883894443512,0.6370585560798645,-0.05417466163635254,0.476940393447876,0.5419168472290039,0.06497645378112793,False,64,256,2.3990416526794434,0.5114765167236328,15.800525903701782,0.007900262951850891,18.983251810073853,0.030913664028048515,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.028243206441402435, 0.028565621003508568, 0.030306952074170113, 0.027804680168628693, 0.031702637672424316, 0.03246193751692772, 0.030980531126260757, 0.03424818813800812, 0.03466056287288666, 0.04281259700655937, 0.047271233052015305, 0.048603542149066925, 0.07086184620857239, 0.10699138045310974, 0.15766116976737976, 0.24682390689849854]"
fourier_band_attention_area,6,worldstrat_sweet,UNHCR-GRCs000069,4,area,fourier_band_attn,fourier,8,48,2000,22.25963592529297,22.94284439086914,-0.6832084655761719,0.582943856716156,0.6370585560798645,-0.054114699363708496,0.5503525733947754,0.5419168472290039,-0.008435726165771484,False,64,256,1.9591646194458008,0.482628732919693,11.689154148101807,0.0058445770740509035,15.004109621047974,0.037256017327308655,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.08967861533164978, 0.11446551233530045, 0.08741593360900879, 0.13206961750984192, 0.09374159574508667, 0.12647992372512817, 0.10445327311754227, 0.25169554352760315]"
fourier_band_attention_s2_psf,6,worldstrat_sweet,UNHCR-GRCs000069,4,s2_psf,fourier_band_attn,fourier,8,48,2000,21.837621688842773,22.94284439086914,-1.1052227020263672,0.5374557971954346,0.6370585560798645,-0.09960275888442993,0.5606794953346252,0.5419168472290039,-0.018762648105621338,False,64,256,1.9546873569488525,0.4767172336578369,13.578932523727417,0.006789466261863709,16.75749635696411,0.0391499400138855,,,/workspaces/scalef/single_samples/worldstrat_sweet/UNHCR-GRCs000069/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id UNHCR-GRCs000069 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09836456179618835, 0.12071678042411804, 0.08750405162572861, 0.12158484756946564, 0.09511253982782364, 0.1335793435573578, 0.11387728899717331, 0.22926059365272522]"
