experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline_area,6,worldstrat_sweet,Amnesty POI-20-3-3,4,area,mlp_tcnn,fourier,8,48,2000,15.650763511657715,15.615592956542969,0.035170555114746094,0.3031187355518341,0.290115624666214,0.013003110885620117,0.6459477543830872,0.6875718235969543,0.04162406921386719,False,64,256,,,7.92566442489624,0.00396283221244812,11.16951298713684,0.08895580470561981,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,worldstrat_sweet,Amnesty POI-20-3-3,4,s2_psf,mlp_tcnn,fourier,8,48,2000,15.646435737609863,15.615592956542969,0.03084278106689453,0.3002066910266876,0.290115624666214,0.010091066360473633,0.630804181098938,0.6875718235969543,0.05676764249801636,False,64,256,,,9.378126382827759,0.00468906319141388,12.618212699890137,0.08767178654670715,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,worldstrat_sweet,Amnesty POI-20-3-3,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,15.65391731262207,15.615592956542969,0.03832435607910156,0.30066099762916565,0.290115624666214,0.01054537296295166,0.6495681405067444,0.6875718235969543,0.03800368309020996,False,64,256,,,8.048356294631958,0.004024178147315979,11.35316252708435,0.0877712219953537,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,worldstrat_sweet,Amnesty POI-20-3-3,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,15.654252052307129,15.615592956542969,0.038659095764160156,0.29882606863975525,0.290115624666214,0.00871044397354126,0.6351316571235657,0.6875718235969543,0.05244016647338867,False,64,256,,,9.474164485931396,0.004737082242965698,12.614488363265991,0.08951421827077866,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,worldstrat_sweet,Amnesty POI-20-3-3,4,area,hash_attn,hashgrid_tcnn,16,64,2000,15.65139102935791,15.615592956542969,0.035798072814941406,0.304504930973053,0.290115624666214,0.01438930630683899,0.657435953617096,0.6875718235969543,0.0301358699798584,False,64,256,2.52280330657959,0.4216693043708801,13.775193929672241,0.006887596964836121,16.995299100875854,0.09750942885875702,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.033281758427619934, 0.03304249420762062, 0.03341468423604965, 0.033791862428188324, 0.033969808369874954, 0.036362845450639725, 0.03815165162086487, 0.037525735795497894, 0.04158999025821686, 0.044914595782756805, 0.05412450432777405, 0.06969444453716278, 0.08846631646156311, 0.11904765665531158, 0.12680549919605255, 0.17581616342067719]"
hashgrid_level_attention_s2_psf,6,worldstrat_sweet,Amnesty POI-20-3-3,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,15.650419235229492,15.615592956542969,0.03482627868652344,0.3015195429325104,0.290115624666214,0.011403918266296387,0.6476619839668274,0.6875718235969543,0.03990983963012695,False,64,256,2.396527051925659,0.4948202967643738,15.74491024017334,0.00787245512008667,18.905924320220947,0.09730210900306702,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.029589036479592323, 0.029163777828216553, 0.029372189193964005, 0.029357468709349632, 0.02966219000518322, 0.031906090676784515, 0.03378765285015106, 0.03325086832046509, 0.036732468754053116, 0.03977403789758682, 0.04698629677295685, 0.05841277167201042, 0.07718485593795776, 0.11374952644109726, 0.15357373654842377, 0.22749704122543335]"
fourier_band_attention_area,6,worldstrat_sweet,Amnesty POI-20-3-3,4,area,fourier_band_attn,fourier,8,48,2000,15.661783218383789,15.615592956542969,0.04619026184082031,0.305738240480423,0.290115624666214,0.015622615814208984,0.6379802823066711,0.6875718235969543,0.0495915412902832,False,64,256,2.028412342071533,0.4152417778968811,12.011531352996826,0.006005765676498413,15.262610912322998,0.11929332464933395,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.1072462946176529, 0.12034250050783157, 0.12016724795103073, 0.11783149838447571, 0.11917070299386978, 0.14021599292755127, 0.11064351350069046, 0.16438224911689758]"
fourier_band_attention_s2_psf,6,worldstrat_sweet,Amnesty POI-20-3-3,4,s2_psf,fourier_band_attn,fourier,8,48,2000,15.663396835327148,15.615592956542969,0.04780387878417969,0.30271950364112854,0.290115624666214,0.01260387897491455,0.6392174959182739,0.6875718235969543,0.04835432767868042,False,64,256,2.011416435241699,0.41566529870033264,13.888511419296265,0.006944255709648133,17.0333149433136,0.11921590566635132,,,/workspaces/scalef/single_samples/worldstrat_sweet/Amnesty POI-20-3-3/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset worldstrat_sweet --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --worldstrat_data_root worldstrat_datasets/worldstrat_sweet --df 4 --sample_id 'Amnesty POI-20-3-3' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10809624195098877, 0.12002281844615936, 0.11589626967906952, 0.1168137639760971, 0.1235055923461914, 0.1453244388103485, 0.11056581139564514, 0.15977506339550018]"
