experiment,seed,dataset,sample_id,df,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline,6,satburst_synth,Landcover-1339590_rgb,4,mlp_tcnn,fourier,8,48,2000,30.174543380737305,25.981605529785156,4.192937850952148,0.8140385150909424,0.5296207070350647,0.2844178080558777,0.19510306417942047,0.4121874272823334,0.2170843631029129,False,64,256,,,7.106468200683594,0.0035532341003417967,10.437649011611938,0.012214284390211105,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1339590_rgb/fourier_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1339590_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name fourier_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline,6,satburst_synth,Landcover-1339590_rgb,4,mlp_tcnn,hashgrid_tcnn,8,256,2000,32.91389465332031,25.981605529785156,6.932289123535156,0.9220855236053467,0.5296207070350647,0.392464816570282,0.10179950296878815,0.4121874272823334,0.3103879243135452,False,64,256,,,7.672163009643555,0.003836081504821777,10.984077215194702,0.0012722023529931903,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1339590_rgb/hashgrid_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1339590_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name hashgrid_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention,6,satburst_synth,Landcover-1339590_rgb,4,hash_attn,hashgrid_tcnn,8,256,2000,31.69659996032715,25.981605529785156,5.714994430541992,0.8992981910705566,0.5296207070350647,0.36967748403549194,0.13511620461940765,0.4121874272823334,0.2770712226629257,False,64,256,1.9968161582946777,0.6692310571670532,11.05580472946167,0.005527902364730835,14.545244216918945,0.0041441479697823524,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1339590_rgb/hashgrid_level_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1339590_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --run_name hashgrid_level_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.024229353293776512, 0.02380756475031376, 0.026434816420078278, 0.026718877255916595, 0.02801157347857952, 0.030902206897735596, 0.03583791106939316, 0.05053776875138283, 0.08428891003131866, 0.1593085676431656, 0.23004983365535736, 0.2798726260662079]"
fourier_band_attention,6,satburst_synth,Landcover-1339590_rgb,4,fourier_band_attn,fourier,8,48,2000,24.57029151916504,25.981605529785156,-1.4113140106201172,0.4422054588794708,0.5296207070350647,-0.08741524815559387,0.4965938329696655,0.4121874272823334,-0.08440640568733215,False,64,256,1.662122368812561,0.48565438389778137,9.757417678833008,0.004878708839416504,13.045600414276123,0.16935229301452637,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-1339590_rgb/fourier_band_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-1339590_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --run_name fourier_band_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.06857363879680634, 0.15066388249397278, 0.06374870985746384, 0.16229663789272308, 0.06906275451183319, 0.07804134488105774, 0.06063009798526764, 0.3469829261302948]"
