experiment,seed,dataset,sample_id,df,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline,6,satburst_synth,Landcover-823696_rgb,4,mlp_tcnn,fourier,8,48,2000,33.99508285522461,30.015811920166016,3.9792709350585938,0.8827255368232727,0.7828893065452576,0.09983623027801514,0.2313905954360962,0.36435842514038086,0.13296782970428467,False,64,256,,,7.485384702682495,0.0037426923513412475,10.792344331741333,0.0025336379185318947,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-823696_rgb/fourier_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-823696_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name fourier_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline,6,satburst_synth,Landcover-823696_rgb,4,mlp_tcnn,hashgrid_tcnn,8,256,2000,38.582122802734375,30.015811920166016,8.56631088256836,0.9616355299949646,0.7828893065452576,0.17874622344970703,0.10287299752235413,0.36435842514038086,0.26148542761802673,False,64,256,,,7.345571756362915,0.0036727858781814577,10.623966693878174,0.0010306457988917828,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-823696_rgb/hashgrid_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-823696_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name hashgrid_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention,6,satburst_synth,Landcover-823696_rgb,4,hash_attn,hashgrid_tcnn,8,256,2000,37.38936233520508,30.015811920166016,7.3735504150390625,0.9550978541374207,0.7828893065452576,0.17220854759216309,0.16191108524799347,0.36435842514038086,0.2024473398923874,False,64,256,2.289311647415161,0.4642871618270874,10.498594760894775,0.005249297380447388,13.764253854751587,0.002195182256400585,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-823696_rgb/hashgrid_level_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-823696_rgb --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --run_name hashgrid_level_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.03120223805308342, 0.03373948484659195, 0.036143768578767776, 0.04045975208282471, 0.04543996602296829, 0.05685929208993912, 0.06904459744691849, 0.09961678087711334, 0.1232069879770279, 0.14448630809783936, 0.15931357443332672, 0.16048724949359894]"
fourier_band_attention,6,satburst_synth,Landcover-823696_rgb,4,fourier_band_attn,fourier,8,48,2000,26.043807983398438,30.015811920166016,-3.972003936767578,0.5960959792137146,0.7828893065452576,-0.18679332733154297,0.4937807023525238,0.36435842514038086,-0.12942227721214294,False,64,256,1.5530221462249756,0.5085000991821289,9.738069772720337,0.004869034886360169,13.084717988967896,0.044049736112356186,,,/workspaces/scalef/single_samples/satburst_synth/Landcover-823696_rgb/fourier_band_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id Landcover-823696_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --run_name fourier_band_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.068091481924057, 0.05225992202758789, 0.04390649124979973, 0.2794680595397949, 0.04777399078011513, 0.06465396285057068, 0.038329631090164185, 0.40551644563674927]"
