experiment,seed,dataset,sample_id,df,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
fourier_mlp_baseline,6,satburst_synth,Amnesty POI-11-1-1_rgb,4,mlp_tcnn,fourier,8,48,2000,32.73271942138672,29.35091209411621,3.381807327270508,0.8583574295043945,0.716486394405365,0.14187103509902954,0.31734511256217957,0.4185786247253418,0.10123351216316223,False,64,256,,,7.491124153137207,0.0037455620765686035,10.79987621307373,0.00969784613698721,,,/workspaces/scalef/single_samples/satburst_synth/Amnesty POI-11-1-1_rgb/fourier_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id 'Amnesty POI-11-1-1_rgb' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name fourier_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline,6,satburst_synth,Amnesty POI-11-1-1_rgb,4,mlp_tcnn,hashgrid_tcnn,8,256,2000,37.636573791503906,29.35091209411621,8.285661697387695,0.9555895328521729,0.716486394405365,0.23910313844680786,0.1429387480020523,0.4185786247253418,0.2756398767232895,False,64,256,,,7.8565216064453125,0.003928260803222656,11.22218132019043,0.0008632607641629875,,,/workspaces/scalef/single_samples/satburst_synth/Amnesty POI-11-1-1_rgb/hashgrid_mlp_baseline,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id 'Amnesty POI-11-1-1_rgb' --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --run_name hashgrid_mlp_baseline --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention,6,satburst_synth,Amnesty POI-11-1-1_rgb,4,hash_attn,hashgrid_tcnn,8,256,2000,36.43947219848633,29.35091209411621,7.088560104370117,0.9438305497169495,0.716486394405365,0.22734415531158447,0.19755226373672485,0.4185786247253418,0.22102636098861694,False,64,256,2.098994731903076,0.5972424149513245,11.10636281967163,0.005553181409835815,14.493663311004639,0.002190845087170601,,,/workspaces/scalef/single_samples/satburst_synth/Amnesty POI-11-1-1_rgb/hashgrid_level_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id 'Amnesty POI-11-1-1_rgb' --input_projection hashgrid --hash_n_levels 12 --hash_n_features_per_level 2 --hash_log2_hashmap_size 16 --hash_base_resolution 8 --hash_max_resolution 256 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --run_name hashgrid_level_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.0185173861682415, 0.020000282675027847, 0.021776478737592697, 0.025750426575541496, 0.0337025411427021, 0.04381987825036049, 0.05503793805837631, 0.07375276833772659, 0.11039985716342926, 0.15481868386268616, 0.2096347063779831, 0.2327890694141388]"
fourier_band_attention,6,satburst_synth,Amnesty POI-11-1-1_rgb,4,fourier_band_attn,fourier,8,48,2000,27.64373779296875,29.35091209411621,-1.707174301147461,0.603891909122467,0.716486394405365,-0.11259448528289795,0.5360490679740906,0.4185786247253418,-0.11747044324874878,False,64,256,1.9094353914260864,0.37973594665527344,9.485341787338257,0.004742670893669128,12.790613651275635,0.16286423802375793,,,/workspaces/scalef/single_samples/satburst_synth/Amnesty POI-11-1-1_rgb/fourier_band_attention,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:7 --sample_id 'Amnesty POI-11-1-1_rgb' --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 3 --network_hidden_dim 64 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --run_name fourier_band_attention --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10218402743339539, 0.1533878892660141, 0.09943589568138123, 0.1902002990245819, 0.07505598664283752, 0.12050586938858032, 0.08909736573696136, 0.17013266682624817]"
